date,type,client,item,amount,recurring,note
2026-09-07,cost,Fox27,Claude membership,17,monthly,The thing this ledger exists to cover
2026-09-07,cost,Fox27,Domain + hosting,0,monthly,Vercel hobby tier while pre-revenue
